CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y;z
CAT048;20;129;05:44:56:375;41,20829658;2,0572456;853,447253691033;2800,02388779969;5,917969;200,115967;432,0;28,0;344646;VLG5YL;1014,0;;;;;;-178,417969;226,0;0,36;2784,0;2880,0;3566;245,3;180,6976;No alert, no SPI, aircraft airbone;30590,86445250103;10346,358517373064;853,447253691033
CAT048;20;129;05:44:56:500;41,15784192;1,98660277;1714,50526597816;5625,0174568318;10,078125;211,426392;1000,0;56,25;346690;VLG68LT;1014,0;-0,703;-127,617;242.0;-0,062;240,0;-128,671875;215,0;0,36;2816,0;2688,0;1788;242,66;232,3718;No alert, no SPI, aircraft airbone;24684,994998984097;4720,580747461439;1714,50526597816
CAT048;20;129;05:44:56:688;41,27544886;2,06481891;289,55878410209;949,9960412335;2,269531;228,054199;1000,0;9,5;4D2240;RYR2SY;1014,2;-20,566;-147,305;156.0;-2,5;158,0;-150,292969;152,0;0,232;2176,0;2496,0;1034;157,08;212,7777;No alert, no SPI, aircraft airbone;31194,13675441127;17806,87041295219;289,55878410209
CAT048;20;129;05:44:58:828;41,32531909;2,16113085;274,315765065141;899,986134656317;3,054688;61,051025;1000,0;9,0;4CADE0;RYR64ZN;1014,0;;;;;;-113,027344;151,0;0,232;-864,0;-704,0;197;160,38;245,6708;No alert, no SPI, aircraft airbone;39233,66893272278;23384,433720287165;274,315765065141
CAT048;20;129;05:44:58:859;41,35978762;2,26206392;701,007822596468;2299,8945046874;8,0625;63,847046;6317,0;23,0;347601;VLG1XG;1014,0;;;;;;-114,433594;181,0;0,284;576,0;544,0;402;192,06;245,7037;No alert, no SPI, aircraft airbone;47658,6816918682;27262,96190182233;701,007822596468
CAT048;20;129;05:45:00:359;41,20378039;2,05718208;914,408259814605;3000,02719513015;6,175781;199,275513;432,0;30,0;344646;VLG5YL;1014,0;;;;;;-178,59375;227,0;0,36;2784,0;2944,0;3566;246,18;180,6976;No alert, no SPI, aircraft airbone;30587,637072597627;9844,778861624502;914,408259814605
CAT048;20;129;05:45:00:500;41,1550944;1,98189096;1767,84463065118;5800,0153780256;10,332031;211,964722;1000,0;58,0;346690;VLG68LT;1014,0;;;;;;-128,671875;215,0;0,36;2720,0;2720,0;1788;243,98;232,3279;No alert, no SPI, aircraft airbone;24290,527414407305;4414,125377503819;1767,84463065118
CAT048;20;129;05:45:00:664;41,27291682;2,06313823;335,278760962188;1099,99597011519;2,429688;226,587524;1000,0;11,0;4D2240;RYR2SY;1014,2;;;;;;-159,257812;153,0;0,236;2112,0;2240,0;1034;156,64;204,928;No alert, no SPI, aircraft airbone;31054,520180750194;17525,06308513669;335,278760962188
CAT048;20;129;05:45:02:820;41,32413234;2,15766125;259,076262018643;849,987763481246;2,882812;60,78186;1000,0;8,5;4CADE0;RYR64ZN;1014,0;;;;;;-112,851562;149,0;0,228;-768,0;-832,0;197;156,86;245,885;No alert, no SPI, aircraft airbone;38943,899513352735;23251,07347636829;259,076262018643
CAT048;20;129;05:45:02:852;41,35832641;2,25790654;701,009482461028;2299,89995043744;7,855469;63,81958;6317,0;23,0;347601;VLG1XG;1014,0;;;;;;-114,257812;176,0;0,276;-128,0;-224,0;402;186,78;245,6268;No alert, no SPI, aircraft airbone;47311,86551807689;27098,407906568922;701,009482461028
