CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y
CAT048;20;129;10:24:52:648;41,38423208;2,33449623;1066,73165780585;3499,77589219575;11,652344;64,429321;741,0;35,0;4ACA07;NOZ4CW;1015;;;;;;-114,609375;174;0,28;-1216;-1184;2635;191,62;245,9729;No alert, no SPI, aircraft airbone;28,995847616814697;16,20923474059229
CAT048;20;129;10:24:52:648;41,4238548;2,45130346;1630,52509627119;5349,49195685036;17,445312;64,802856;2243,0;53,5;C0656F;WJA8;1015;;;;;;-114,785156;202;0,336;-928;-1056;2446;229,24;245,7806;No alert, no SPI, aircraft airbone;34,250768372123694;18,627736246859648
CAT048;20;129;10:24:52:656;41,45961382;2,56136657;1371,3310443908;4499,1177436791;22,84375;65,176392;5001,0;45,0;347696;VLG1254;1015;;;;;;-107,929688;200;0,328;-320;-320;3193;221,76;252,1362;No alert, no SPI, aircraft airbone;39,19737418918797;20,81855831921718
CAT048;20;129;10:24:52:641;41,35703794;2,25441249;693,39083550591;2274,90438876121;7,679688;63,81958;1000,0;22,75;345116;VLG55UB;1015;;;;;;-116,015625;159;0,248;-864;-928;2297;179,08;245,5774;No alert, no SPI, aircraft airbone;25,389361191759793;14,553470216247739
CAT048;20;129;10:24:52:625;41,32963162;2,17441662;342,893561444245;1124,97891212874;3,707031;62,039795;1000,0;11,25;3475DA;VLG593E;1015;;;;;;-113,730469;158;0,244;-704;-544;944;172,48;246,4069;No alert, no SPI, aircraft airbone;21,783913025705225;12,888330178103642
CAT048;20;129;10:24:54:172;41,20969309;2,05357344;1005,84646333195;3300,021310758;5,90625;201,917725;441,0;33,0;4D227B;RYR7543;1015,2;;;;;;176,132812;207;0,332;2688;2688;76;223,74;175,8911;No alert, no SPI, aircraft airbone;16,351198643806402;5,669523461073566
CAT048;20;129;10:24:54:477;41,2815302;2,07245678;129,5391897019;424,997355141581;1,765625;229,356079;1000,0;4,25;34744C;VLG17WR;1015;;;;;;;;;;;3949;165,22;244,5172;No alert, no SPI, aircraft airbone;17,18759649986262;9,981020883422705
CAT048;20;129;10:24:55:500;41,50105021;1,89181923;883,904350451194;2899,94874913429;15,320312;321,756592;7375,0;29,0;34830A;BSO2LC;;;;;;;;;;;;14;100,32;274,5703;No alert, no SPI, aircraft airbone;8,986201705024527;23,118459055455315
CAT048;20;129;10:24:55:586;41,52290266;1,92708284;731,534289413132;2400,04695807818;15,496094;329,397583;7351,0;24,0;347243;ARK3BZS;;;;;;;;;;;;1298;93,06;50,4877;No alert, no SPI, aircraft airbone;10,572534929599167;24,432946025187405
CAT048;20;129;10:24:55:820;41,44871667;2,06869892;731,544059729204;2400,07901292196;9,011719;350,375977;7050,0;24,0;343450;ECLBE;1016;;;;;;-104,941406;144;0,228;-320;NV;2685;148,28;246,8463;No alert, no SPI, aircraft airbone;16,974374664950872;20,006306605342232
CAT048;20;129;10:24:56:492;41,31064727;2,11827059;68,5797430705279;224,999164255511;0,945312;50,866699;1000,0;2,25;471DB4;WMT3025;1015;;;;;;-116,367188;135;0,204;-800;-736;733;141,9;245,4181;No alert, no SPI, aircraft airbone;19,251509138063533;11,736673130653559
CAT048;20;129;10:24:56:641;41,38277953;2,33015546;1043,87420610152;3424,78425034612;11,4375;64,401855;741,0;34,25;4ACA07;NOZ4CW;1015;;;;;;-114,433594;172;0,276;-1152;-1216;2635;189,42;246,0059;No alert, no SPI, aircraft airbone;28,80043327057573;16,120688662267796
CAT048;20;129;10:24:56:648;41,42209236;2,44610198;1607,66969330702;5274,5070365894;17,1875;64,79187;2243,0;52,75;C0656F;WJA8;1015;;;;;;-114,785156;203;0,336;-1120;-1120;2446;228,36;245,6763;No alert, no SPI, aircraft airbone;34,01689931154267;18,520007429052804
CAT048;20;129;10:24:56:648;41,45821226;2,55612625;1363,71729351301;4474,13824524922;22,59375;65,12146;5001,0;44,75;347696;VLG1254;1015;;;;;;-109,160156;200;0,328;-384;-352;3193;222,86;250,5872;No alert, no SPI, aircraft airbone;38,961801173045;20,732157460212157
CAT048;20;129;10:24:56:609;41,32837776;2,17060778;327,65423872415;1074,98113257574;3,519531;61,809082;1000,0;10,75;3475DA;VLG593E;1015;-0,176;-113,73;168;0,25;158;-114,257812;152;0,236;-640;-576;944;167,2;246,3464;No alert, no SPI, aircraft airbone;21,612154828557806;12,81219128864004
CAT048;20;129;10:24:56:633;41,35566459;2,25040029;678,152365122922;2224,90940558989;7,480469;63,775635;1000,0;22,25;345116;VLG55UB;1015;;;;;;-115,839844;159;0,252;-992;-992;2297;179,08;245,5774;No alert, no SPI, aircraft airbone;25,20860116288805;14,469948836400619
CAT048;20;129;10:24:58:156;41,20555899;2,0539379;1059,18742604647;3475,0244748703;6,132812;200,906982;441,0;34,75;4D227B;RYR7543;1015,2;;;;;;176,308594;206;0,332;2656;2592;76;224,84;175,4022;No alert, no SPI, aircraft airbone;16,36872869780532;5,421683502387569
CAT048;20;129;10:24:58:484;41,2801713;2,06881128;182,878928285092;599,996503074862;1,945312;230,701904;1000,0;6,0;34744C;VLG17WR;1015;-12,832;-116,719;164;-1,656;162;-121,816406;157;0,24;2848;2752;3949;163,68;243,1165;No alert, no SPI, aircraft airbone;17,02304022474966;9,898816570388476
CAT048;20;129;10:24:59:492;41,50109626;1,88939203;883,902920517139;2899,94405774945;15,390625;321,443481;7375,0;29,0;34830A;BSO2LC;;;;;;;;;;;;14;101,2;272,2632;No alert, no SPI, aircraft airbone;8,876764979660788;23,120971928209716
CAT048;20;129;10:24:59:586;41,52380798;1,92878313;731,535594490357;2400,05123982774;15,503906;329,743652;7351,0;24,0;347243;ARK3BZS;;;;;;;;;;;;1298;92,18;50,7788;No alert, no SPI, aircraft airbone;10,649019745992387;24,487446885177544
CAT048;20;129;10:24:59:797;41,44840106;2,06443575;731,54352267459;2400,0772509317;9,027344;349,151001;7050,0;24,0;343450;ECLBE;1016;;;;;;-91,582031;141;0,224;-32;NV;2685;162,8;259,92;No alert, no SPI, aircraft airbone;16,782097006309;19,98655389312397
CAT048;20;129;10:25:00:453;41,30958819;2,11515739;53,3398489877582;174,999510152996;0,796875;48,02124;1000,0;1,75;471DB4;WMT3025;1015;1,406;-114,434;142;-0,094;138;-116,367188;134;0,204;-800;-768;733;141,9;245,4181;No alert, no SPI, aircraft airbone;19,11105062918019;11,672477977758732
