CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;20:01:14:820;41,46202122;1,64265104;1272,2718251003;4174,12029466205;22,90625;295,147705;7371;41,75;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;72,246094;97;0,156;32;NV;18;102,08;77,6788;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:16:242;41,34409631;2,21611127;495,283776163124;1624,94682418702;5,78125;63,182373;1000;16,25;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,960938;162;0,252;-800;-768;101;166,98;245,5829;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:17:734;41,19478129;2,05717829;1036,33042563125;3400,03431362805;6,691406;197,748413;6330;34;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;179,824219;210;0,336;2560;2688;1867;229,24;180,4999;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:18:820;41,46260369;1,6450173;1272,27511514351;4174,13108876743;22,824219;295,339966;7371;41,75;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;71,191406;94;0,152;-32;NV;18;101,86;76,8713;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:20:234;41,34283186;2,21241245;480,044825277291;1574,95026456275;5,597656;63,105469;1000;15,75;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,960938;158;0,248;-768;-736;101;163,9;245,4675;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:21:719;41,19045795;2,05710172;1089,67152547557;3575,03792764127;6,941406;197,122192;6330;35,75;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;0;211;0,34;2880;2880;1867;230,12;180,9943;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:22:813;41,4630732;1,64722018;1264,65813659225;4149,14100085731;22,746094;295,510254;7371;41,5;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;72,949219;94;0,152;-224;NV;18;100,98;76,6626;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:24:227;41,34161888;2,20887279;464,805796197616;1524,95344839699;5,421875;63,028564;1000;15,25;4D2049;WMT773;1016;0,176;-114,258;160;-0,25;162;-114,960938;155;0,24;-768;-704;101;161,26;245,8191;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:25:711;41,18623519;2,05696845;1150,63263542484;3775,04157560725;7,1875;196,572876;6330;37,75;345218;AEA48JV;1016;11,074;-177,539;230;0,969;228;-177,890625;210;0,34;2976;2944;1867;229,46;182,4994;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:26:805;41,46363621;1,64958628;1264,66138967685;4149,15167370741;22,664062;295,702515;7371;41,5;342603;BSO1JL;1017;-0,352;NV;98;NV;104;72,246094;96;0,156;-224;NV;18;100,54;76,1023;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:28:227;41,34040478;2,20532911;457,186736161821;1499,95653146915;5,246094;62,946167;1000;15;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,960938;151;0,236;-576;-544;101;155,76;245,7367;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:29:703;41,18193764;2,05660439;1211,59377939906;3975,04533520361;7,441406;196,12793;6330;39,75;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;-174,023438;209;0,34;2784;2976;1867;230,34;185,9821;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:30:813;41,46419002;1,6519496;1257,04462051205;4124,16227276077;22,582031;295,894775;7371;41,25;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;72,597656;96;0,156;-192;NV;18;100,32;75,542;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:32:219;41,33925093;2,20194321;441,947604840621;1449,9593798653;5,078125;62,858276;1000;14,5;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,785156;148;0,228;-864;-864;101;152,68;245,6158;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:33:695;41,1777854;2,05591263;1272,55488194991;4175,04895889654;7,691406;195,836792;6330;41,75;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;-173,847656;209;0,34;3072;2944;1867;230,34;187,9871;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:34:805;41,46479343;1,65425826;1257,04778612871;4124,17265864251;22,503906;296,092529;7371;41,25;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;72,773438;97;0,156;-160;NV;18;100,32;74,9927;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:36:211;41,33811157;2,19855169;419,088446984068;1374,96214040321;4,910156;62,753906;1000;13,75;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,785156;146;0,224;-864;-896;101;149,6;245,4895;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:37:680;41,17359012;2,05508913;1325,8960199235;4350,05269800582;7,945312;195,600586;6330;43,5;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;-177,1875;210;0,344;2752;2560;1867;230,56;186,2292;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:38:805;41,46552017;1,65674673;1249,4312118981;4099,18389724377;22,421875;296,317749;7371;41;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;72,421875;97;0,156;-192;NV;18;100,98;74,0808;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:40:203;41,33694133;2,19517636;403,849252684042;1324,96478217591;4,742188;62,666016;1000;13,25;4D2049;WMT773;1016;0,176;-114,258;148;-0,062;150;-115,136719;143;0,22;-768;-704;101;148,28;245,6818;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:41:672;41,1693864;2,0546147;1371,61724807322;4500,05673216854;8,195312;195,270996;6330;45;345218;AEA48JV;1016;-26,191;-179,297;234;-1,969;232;175,957031;211;0,348;2048;1696;1867;232,32;182,4664;No alert, no SPI, aircraft airbone
